利用日,利用金額,項目
2020/10/1,31810,交通費
2020/10/1,38940,交通費
2020/10/1,379,食費
2020/10/1,149,食費
2020/10/1,880,食費
2020/10/1,65000,家賃
2020/10/2,2506,娯楽
2020/10/2,1710,娯楽
2020/10/2,1217,食費
2020/10/2,3487,電気料金
2020/10/3,561,娯楽
2020/10/3,535,食費
2020/10/3,103,食費
2020/10/4,1787,食費
2020/10/4,624,食費
2020/10/4,620,食費
2020/10/5,733,食費
2020/10/5,368,食費
2020/10/5,100,食費
2020/10/6,194,食費
2020/10/6,151,食費
2020/10/6,103,食費
2020/10/6,1900,娯楽
2020/10/6,5943,娯楽
2020/10/7,211,食費
2020/10/7,437,娯楽
2020/10/7,1029,ガス料金
2020/10/8,3593,通信費
2020/10/8,1445,食費
2020/10/8,399,食費
2020/10/8,100,食費
2020/10/8,194,食費
2020/10/8,1688,娯楽
2020/10/10,2519,食費
2020/10/11,5000,娯楽
2020/10/11,266,通信費
2020/10/11,3966,娯楽
2020/10/11,661,娯楽
2020/10/12,3806,水道料金
2020/10/12,477,食費
2020/10/12,149,食費
2020/10/12,140,食費
2020/10/12,299,食費
2020/10/14,1818,娯楽
2020/10/14,3000,交通費
2020/10/14,91,食費
2020/10/15,6119,娯楽
2020/10/15,288,娯楽
2020/10/15,1045,娯楽
2020/10/15,120,食費
2020/10/15,181,食費
2020/10/15,449,食費
2020/10/18,5684,娯楽
2020/10/19,399,食費
2020/10/19,537,食費
2020/10/19,280,食費
2020/10/19,129,食費
2020/10/19,1090,食費
2020/10/20,1342,食費
2020/10/21,288,食費
2020/10/22,120,食費
2020/10/22,140,食費
2020/10/22,500,食費
2020/10/23,180,食費
2020/10/24,7515,娯楽
2020/10/24,220,旅行
2020/10/24,2280,旅行
2020/10/24,100,食費
2020/10/24,148,食費
2020/10/24,460,娯楽
2020/10/25,799,娯楽
2020/10/25,3000,交通費
2020/10/25,11200,旅行
2020/10/25,11200,旅行
2020/10/25,2122,食費
2020/10/26,140,食費
2020/10/26,330,食費
2020/10/27,944,娯楽
2020/10/27,333,娯楽
2020/10/29,429,食費
2020/10/29,130,食費
2020/10/29,280,食費
2020/10/29,216,食費
2020/10/29,140,食費
2020/10/30,278,食費
